ㄅ CH_b-CH_@

ㄆ CH_p-CH_@

ㄇ CH_m-CH_@

ㄈ CH_f-CH_@

ㄉ CH_d-CH_@

ㄊ CH_t-CH_@

ㄋ CH_n-CH_@

ㄌ CH_l-CH_@

ㄍ CH_g-CH_@

ㄎ CH_k-CH_@

ㄏ CH_h-CH_@

ㄐ CH_dz|-CH_i

ㄑ CH_ts|-CH_i

ㄒ CH_s|-CH_i

ㄅㄚ CH_b-CH_a

ㄅㄛ CH_b-CH_u-CH_o

ㄅㄞ CH_b-CH_a-CH_i

ㄅㄟ CH_b-CH_e-CH_i

ㄅㄠ CH_b-CH_a-CH_u

ㄅㄢ CH_b-CH_a-CH_n#

ㄅㄣ CH_b-CH_@-CH_n#

ㄅㄤ CH_b-CH_a-CH_N#

ㄅㄥ CH_b-CH_o-CH_N#

ㄅㄧ CH_b-CH_i

ㄅㄧㄝ CH_b-CH_i-CH_E

ㄅㄧㄠ CH_b-CH_i-CH_a-CH_u

ㄅㄧㄢ CH_b-CH_i-CH_E-CH_n#

ㄅㄧㄣ CH_b-CH_i-CH_n#

ㄅㄧㄥ CH_b-CH_i-CH_N#

ㄅㄨ CH_b-CH_u

ㄆㄚ CH_p-CH_a

ㄆㄛ CH_p-CH_u-CH_o

ㄆㄞ CH_p-CH_a-CH_i

ㄆㄟ CH_p-CH_e-CH_i

ㄆㄠ CH_p-CH_a-CH_u

ㄆㄡ CH_p-CH_o-CH_u

ㄆㄢ CH_p-CH_a-CH_n#

ㄆㄣ CH_p-CH_@-CH_n#

ㄆㄤ CH_p-CH_a-CH_N#

ㄆㄥ CH_p-CH_o-CH_N#

ㄆㄧ CH_p-CH_i

ㄆㄧㄝ CH_p-CH_i-CH_E

ㄆㄧㄠ CH_p-CH_i-CH_a-CH_u

ㄆㄧㄢ CH_p-CH_i-CH_E-CH_n#

ㄆㄧㄣ CH_p-CH_i-CH_n#

ㄆㄧㄥ CH_p-CH_i-CH_N#

ㄆㄨ CH_p-CH_u

ㄇㄚ CH_m-CH_a

ㄇㄛ CH_m-CH_u-CH_o

ㄇㄜ CH_m-CH_@

ㄇㄞ CH_m-CH_a-CH_i

ㄇㄟ CH_m-CH_e-CH_i

ㄇㄠ CH_m-CH_a-CH_u

ㄇㄡ CH_m-CH_o-CH_u

ㄇㄢ CH_m-CH_a-CH_n#

ㄇㄣ CH_m-CH_@-CH_n#

ㄇㄤ CH_m-CH_a-CH_N#

ㄇㄥ CH_m-CH_o-CH_N#

ㄇㄧ CH_m-CH_i

ㄇㄧㄝ CH_m-CH_i-CH_E

ㄇㄧㄠ CH_m-CH_i-CH_a-CH_u

ㄇㄧㄡ CH_m-CH_i-CH_o-CH_u

ㄇㄧㄢ CH_m-CH_i-CH_E-CH_n#

ㄇㄧㄣ CH_m-CH_i-CH_n#

ㄇㄧㄥ CH_m-CH_i-CH_N#

ㄇㄨ CH_m-CH_u

ㄈㄚ CH_f-CH_a

ㄈㄛ CH_f-CH_o

ㄈㄟ CH_f-CH_e-CH_i

ㄈㄡ CH_f-CH_o-CH_u

ㄈㄢ CH_f-CH_a-CH_n#

ㄈㄣ CH_f-CH_@-CH_n#

ㄈㄤ CH_f-CH_a-CH_N#

ㄈㄥ CH_f-CH_o-CH_N#

ㄈㄨ CH_f-CH_u

